family,excess_kurtosis,radius,receptive_field,parameterization,t,n_params,score_rel_l2_all,score_rel_l2_interior,seconds
laplace,3.0,12,25,eps,1.6,6081,0.045002331205874685,0.05011821321163645,94.92109462699955
laplace,3.0,12,25,x0,0.1,6081,0.26316918710954756,0.24408064016953443,92.18727875999866
laplace,3.0,12,25,x0,0.2,6081,0.14281721928732416,0.13260175910702532,92.18727875999866
laplace,3.0,12,25,x0,0.4,6081,0.08024310274413161,0.0726091444886874,92.18727875999866
laplace,3.0,12,25,x0,0.8,6081,0.037538494111607236,0.03715401656733096,92.18727875999866
laplace,3.0,12,25,x0,1.6,6081,0.017576544609908124,0.017605631745899974,92.18727875999866
laplace,3.0,16,33,eps,0.1,6593,0.1532062810264599,0.135017458050914,95.83812894100083
laplace,3.0,16,33,eps,0.2,6593,0.11061511676513491,0.09957996052458594,95.83812894100083
laplace,3.0,16,33,eps,0.4,6593,0.0775479639746867,0.07314460096407022,95.83812894100083
laplace,3.0,16,33,eps,0.8,6593,0.0546213821376921,0.060397068124926935,95.83812894100083
laplace,3.0,16,33,eps,1.6,6593,0.048703754912943285,0.056359232965574435,95.83812894100083
laplace,3.0,16,33,x0,0.1,6593,0.25274693648016056,0.26850902699465723,97.46011312600058
laplace,3.0,16,33,x0,0.2,6593,0.13473518001645957,0.130224919956864,97.46011312600058
laplace,3.0,16,33,x0,0.4,6593,0.08021042319852759,0.06771343142354296,97.46011312600058
laplace,3.0,16,33,x0,0.8,6593,0.0461238977111971,0.04190981219285942,97.46011312600058
laplace,3.0,16,33,x0,1.6,6593,0.011166711108646265,0.012459345969752985,97.46011312600058
gauss_mix_kappa0.9,-1.62,0,1,eps,0.1,4545,0.7998988843663689,0.7998988843663689,81.13752586499868
gauss_mix_kappa0.9,-1.62,0,1,eps,0.2,4545,0.6952387602700825,0.6952387602700825,81.13752586499868
gauss_mix_kappa0.9,-1.62,0,1,eps,0.4,4545,0.52438081800971,0.52438081800971,81.13752586499868
gauss_mix_kappa0.9,-1.62,0,1,eps,0.8,4545,0.29941449125857433,0.29941449125857433,81.13752586499868
gauss_mix_kappa0.9,-1.62,0,1,eps,1.6,4545,0.08321787052893102,0.08321787052893102,81.13752586499868
gauss_mix_kappa0.9,-1.62,0,1,x0,0.1,4545,0.8056126230185313,0.8056126230185313,76.46271940500083
gauss_mix_kappa0.9,-1.62,0,1,x0,0.2,4545,0.6960271650743626,0.6960271650743626,76.46271940500083
gauss_mix_kappa0.9,-1.62,0,1,x0,0.4,4545,0.5256350064276641,0.5256350064276641,76.46271940500083
gauss_mix_kappa0.9,-1.62,0,1,x0,0.8,4545,0.2995523584122681,0.2995523584122681,76.46271940500083
gauss_mix_kappa0.9,-1.62,0,1,x0,1.6,4545,0.0778871967948152,0.0778871967948152,76.46271940500083
gauss_mix_kappa0.9,-1.62,1,3,eps,0.1,4673,0.2899513257152746,0.27607114805237987,80.99708153900065
gauss_mix_kappa0.9,-1.62,1,3,eps,0.2,4673,0.2854715887099146,0.28079316922037334,80.99708153900065
gauss_mix_kappa0.9,-1.62,1,3,eps,0.4,4673,0.2730108775659651,0.27232533614341925,80.99708153900065
gauss_mix_kappa0.9,-1.62,1,3,eps,0.8,4673,0.2013629233135666,0.20194318900075525,80.99708153900065
gauss_mix_kappa0.9,-1.62,1,3,eps,1.6,4673,0.07479484353354346,0.07536633875125534,80.99708153900065
gauss_mix_kappa0.9,-1.62,1,3,x0,0.1,4673,0.3336377095877738,0.3220900015134372,81.98007386099925
gauss_mix_kappa0.9,-1.62,1,3,x0,0.2,4673,0.2949674065629738,0.29115503110288965,81.98007386099925
gauss_mix_kappa0.9,-1.62,1,3,x0,0.4,4673,0.2729824522885116,0.272881525480652,81.98007386099925
gauss_mix_kappa0.9,-1.62,1,3,x0,0.8,4673,0.1984225398793414,0.19900550797215472,81.98007386099925
gauss_mix_kappa0.9,-1.62,1,3,x0,1.6,4673,0.061595730879406736,0.06219911279230182,81.98007386099925
gauss_mix_kappa0.9,-1.62,2,5,eps,0.1,4801,0.18094185997668577,0.16360546696755715,82.3431959540012
gauss_mix_kappa0.9,-1.62,2,5,eps,0.2,4801,0.15011788786050487,0.1415971409985101,82.3431959540012
