t,arm,n_obs,seed,psi,p_hat,p_true
0.05,joint,4096,123393400,-1.6689710972195777,2.0754441154774243e-302,0.0
0.05,joint,4096,123393400,-1.6198837120072371,3.0109861607236745e-302,0.0
0.05,joint,4096,123393400,-1.5707963267948966,4.1877466869391723e-277,0.0
0.05,joint,4096,123393400,-1.521708941582556,6.825729687914712e-249,0.0
0.05,joint,4096,123393400,-1.4726215563702154,3.690793363733219e-225,0.0
0.05,joint,4096,123393400,-1.423534171157875,4.5080493424483015e-206,0.0
0.05,joint,4096,123393400,-1.3744467859455345,9.56578866014665e-191,0.0
0.05,joint,4096,123393400,-1.325359400733194,5.155044844461429e-177,0.0
0.05,joint,4096,123393400,-1.2762720155208536,1.9464179821646552e-161,0.0
0.05,joint,4096,123393400,-1.227184630308513,6.731657248672333e-141,0.0
0.05,joint,4096,123393400,-1.1780972450961724,1.0101016081805524e-115,0.0
0.05,joint,4096,123393400,-1.129009859883832,2.397798955242396e-90,0.0
0.05,joint,4096,123393400,-1.0799224746714913,3.6571539886175964e-70,0.0
0.05,joint,4096,123393400,-1.030835089459151,1.1798432797561202e-58,0.0
0.05,joint,4096,123393400,-0.9817477042468106,1.2631250194838598e-56,0.0
0.05,joint,4096,123393400,-0.9326603190344698,3.3714867453388283e-62,0.0
0.05,joint,4096,123393400,-0.8835729338221294,1.084864745029595e-70,0.0
0.05,joint,4096,123393400,-0.8344855486097886,6.319494595502379e-75,0.0
0.05,joint,4096,123393400,-0.7853981633974483,1.114829133775706e-68,0.0
0.05,joint,4096,123393400,-0.7363107781851079,9.33818703444514e-53,0.0
0.05,joint,4096,123393400,-0.6872233929727671,4.629061160229782e-34,0.0
0.05,joint,4096,123393400,-0.6381360077604268,1.941644092109158e-18,0.0
0.05,joint,4096,123393400,-0.589048622548086,3.715743629485163e-07,0.0
0.05,joint,4096,123393400,-0.5399612373357456,0.34934912573879723,0.5
0.05,joint,4096,123393400,-0.4908738521234053,0.1497108303036914,0.0
0.05,joint,4096,123393400,-0.4417864669110645,8.214163860915837e-08,0.0
0.05,joint,4096,123393400,-0.39269908169872414,4.287395755386122e-16,0.0
0.05,joint,4096,123393400,-0.3436116964863838,2.357144293992592e-20,0.0
0.05,joint,4096,123393400,-0.294524311274043,2.7612164472154267e-18,0.0
0.05,joint,4096,123393400,-0.24543692606170264,4.3254812079867544e-20,0.0
0.05,joint,4096,123393400,-0.1963495408493623,2.0901891703535288e-36,0.0
0.05,joint,4096,123393400,-0.1472621556370215,9.519558139186205e-64,0.0
0.05,joint,4096,123393400,-0.09817477042468115,3.884733483430708e-87,0.0
0.05,joint,4096,123393400,-0.04908738521234035,1.0057673401033556e-98,0.0
0.05,joint,4096,123393400,0.0,1.9258050174909375e-103,0.0
0.05,joint,4096,123393400,0.04908738521234035,2.4462333628697877e-104,0.0
0.05,joint,4096,123393400,0.09817477042468115,1.1765099145910708e-99,0.0
0.05,joint,4096,123393400,0.1472621556370215,8.620338107634902e-89,0.0
0.05,joint,4096,123393400,0.1963495408493623,1.6529977208513129e-74,0.0
0.05,joint,4096,123393400,0.24543692606170264,2.700735672722777e-59,0.0
0.05,joint,4096,123393400,0.294524311274043,8.301258902779261e-44,0.0
0.05,joint,4096,123393400,0.3436116964863838,1.3540992580955107e-28,0.0
0.05,joint,4096,123393400,0.39269908169872414,1.5134420681136612e-15,0.0
0.05,joint,4096,123393400,0.4417864669110645,4.750380652842281e-07,0.0
0.05,joint,4096,123393400,0.4908738521234053,0.15517090563522704,0.0
0.05,joint,4096,123393400,0.5399612373357456,0.3456987492296429,0.5
0.05,joint,4096,123393400,0.589048622548086,1.9078328034407704e-07,0.0
0.05,joint,4096,123393400,0.6381360077604268,5.8635903788994225e-15,0.0
0.05,joint,4096,123393400,0.6872233929727671,1.2629030500109708e-14,0.0
0.05,joint,4096,123393400,0.7363107781851079,1.7802763460215482e-06,0.0
0.05,joint,4096,123393400,0.7853981633974483,6.748927892688933e-05,0.0
