stage,seed,n_chains,arch,region,hp,checkpoint,at_cap,n_params,sq_err,sq_ref,risk
screen,10000,2048,window,bulk,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 2, ""width"": 128}",32000,False,17793,32593.859363994077,1083969.239568798,0.17340412107496797
screen,10000,2048,window,centre,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 2, ""width"": 128}",32000,False,17793,1460.1606010957355,44414.23562951278,0.18131728891491808
screen,10000,2048,window,all,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 4, ""width"": 64}",32000,False,5057,52075.997184550964,1425250.9359114203,0.1911494839983565
screen,10000,2048,window,bulk,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 4, ""width"": 64}",32000,False,5057,26912.90943797183,1083969.239568798,0.15756938716802013
screen,10000,2048,window,centre,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 4, ""width"": 64}",32000,False,5057,1090.155268475522,44414.23562951278,0.15666900413471885
screen,10000,2048,window,all,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 4, ""width"": 128}",32000,False,18305,36601.2537856141,1425250.9359114203,0.16025157767259174
screen,10000,2048,window,bulk,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 4, ""width"": 128}",32000,False,18305,23031.283994024674,1083969.239568798,0.1457641069558872
screen,10000,2048,window,centre,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 4, ""width"": 128}",32000,False,18305,1007.2986546453608,44414.23562951278,0.15059759307411705
screen,10000,2048,window,all,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 8, ""width"": 64}",8000,False,5569,63109.91456945841,1425250.9359114203,0.21042780678428458
screen,10000,2048,window,bulk,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 8, ""width"": 64}",8000,False,5569,35373.00521718469,1083969.239568798,0.1806456466326688
