init,family,rho,t,excess_kurtosis,invariant_iters,posterior_mean_mse_median,posterior_mean_rel_median,score_mse_median,score_rel_median,score_cosine_median,score_max_abs_median
invariant,gauss_mix_kappa0.9,0.85,0.1,-1.62,44,0.0052559510792556125,0.0900698170658125,0.13096165566144635,0.21844053553968323,0.976258928860354,0.9348390717098063
invariant,gauss_mix_kappa0.9,0.85,0.2,-1.62,44,0.0025113451403594974,0.05638588962885743,0.01548829202483195,0.10083604496796905,0.9961096518655703,0.3674288843946981
invariant,gauss_mix_kappa0.9,0.85,0.4,-1.62,44,0.0007721926607270799,0.035734104661693536,0.001144209675350975,0.03314219435333239,0.999551650566245,0.08786489686789778
invariant,gauss_mix_kappa0.9,0.85,0.8,-1.62,44,0.00021880354444888252,0.020681540187422444,6.935292313846681e-05,0.008156632691958392,0.9999687630164095,0.022566223983877975
invariant,gauss_mix_kappa0.9,0.85,1.6,-1.62,44,1.1469406000929116e-05,0.008424205635181056,5.080962846330793e-07,0.0007350816072932925,0.9999997603493301,0.0013024287686091984
invariant,gauss_mix_kappa0.9,0.85,2.4,-1.62,44,2.522864578827815e-07,0.0027795521771859307,2.110854361677517e-09,4.719770763739135e-05,0.9999999990545493,7.948248312639183e-05
invariant,laplace,0.95,0.02,3.0,160,0.0011001097345602383,0.03585897572531577,0.6874769156225335,0.2209548231175183,0.9756064764708339,2.2111340918324998
invariant,laplace,0.95,0.05,3.0,160,0.0007527189176969691,0.03584764149361396,0.07520919654406893,0.1178879330896683,0.9932556819393201,0.8367004494761847
invariant,laplace,0.95,0.1,3.0,160,0.0007251478174950476,0.03591840840933162,0.01806838711898469,0.07548141088663687,0.9972242122649435,0.3889569367530173
invariant,laplace,0.95,0.2,3.0,160,0.0002619988331285551,0.02122037255966401,0.0016158330340366456,0.027583091836490208,0.9996890867555475,0.11397680310914393
invariant,laplace,0.95,0.4,3.0,160,0.0001597998533431587,0.02614887896090376,0.00023678616440454928,0.012389997733164482,0.9999429318837609,0.032771656184784614
invariant,laplace,0.95,0.8,3.0,160,7.259580935348005e-05,0.009722251439677834,2.3010283489456368e-05,0.0044487365208244894,0.9999906722783949,0.009621590696057059
